,商品名称,商品编号,店铺,商品毛重,外观特征,DDR代数,类型,型号,商品产地,总容量,平台,内存数量,内存频率,品牌,时序,工作电压,CL值
14,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
15,美商海盗船（USCORSAIR）DDR4台式机内存条复仇者LPX32G(16G两条)3200Mhz,55814654770,美商海盗船存储旗舰店,100.00g,马甲条,DDR4,288-PinDDR4SDRAM,复仇者LPX320016GB双条,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船,,,
16,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
17,美商海盗船（USCORSAIR）内存条DDR4台式机RGBPROCM4X320016GB(8G*2)白色,52741168486,美商海盗船存储旗舰店,500.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,DDR4320016GB(8G*2)白灯,,16GB,台式机内存,2条套条,3200/3333MHz,,,,
18,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
19,美商海盗船（USCORSAIR）内存条DDR4台式机RGBPROCM4X320016GB(8G*2)白色,52741168486,美商海盗船存储旗舰店,500.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,DDR4320016GB(8G*2)白灯,,16GB,台式机内存,2条套条,3200/3333MHz,,,,
20,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
21,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
22,美商海盗船（USCORSAIR）内存条DDR4台式机RGBPROCM4X320016GB(8G*2)白色,52741168486,美商海盗船存储旗舰店,500.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,DDR4320016GB(8G*2)白灯,,16GB,台式机内存,2条套条,3200/3333MHz,,,,
23,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
24,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
25,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
26,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
27,美商海盗船（USCORSAIR）内存条DDR4台式机RGBPROCM4X320016GB(8G*2)白色,52741168486,美商海盗船存储旗舰店,500.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,DDR4320016GB(8G*2)白灯,,16GB,台式机内存,2条套条,3200/3333MHz,,,,
28,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
29,金士顿（Kingston）DDR3DDR426664G/8G/16G台式机内存条行货台式机普条DDR416G2666,10027735431228,西部数码IT专营店,200.00g,普条,DDR3,288-PinDDR4SDRAM,金士顿,,16GB,,1条单条,2400/2666MHz,,,,
30,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
31,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
32,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
33,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
34,美商海盗船（USCORSAIR）内存条DDR4台式机RGBPROCM4X320016GB(8G*2)白色,52741168486,美商海盗船存储旗舰店,500.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,DDR4320016GB(8G*2)白灯,,16GB,台式机内存,2条套条,3200/3333MHz,,,,
35,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
36,美商海盗船（USCORSAIR）复仇者LPX系列,69830180538,华海思达存储专营店,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船（USCORSAIR）,,1.35V,16
37,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
38,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
39,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
40,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
41,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
42,美商海盗船复仇者LPXDDR4300016GB,2632409,,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4300016GB,中国大陆/中国台湾,16GB,台式机内存,1条单条,2933/3000MHz,美商海盗船,,1.35V,16
43,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
44,金士顿HX432C18FB2K2/16,100005116786,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,KF432C16BBK2/16-SP或HX432C18FB2K2/16或HX432C16FB3K2/16-SP或HX432C16FB3K2/16,中国大陆，中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,金士顿Kingston,,1.35V,16
45,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
46,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
47,G.SKILLF4-3600C18D-16GTRS,100001749045,,240.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3600C18D-16GTRS,中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,芝奇G.SKILL,,1.35V,
48,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
49,威刚（ADATA）4/8/16GDDR42133/2400/2666频率台式机内存条万紫千红系8GDDR42133,59986285414,网际世通办公专营店,500.00g,普条,DDR4,288-PinDDR4SDRAM,万紫千红,,,,,,,,,4
50,G.SKILLF4-2666C19S-8GIS,7063936,,30.00g,普条,DDR4,288-PinDDR4SDRAM,F4-2666C19S-8GIS,中国台湾,8GB,台式机内存,1条单条,2400/2666MHz,芝奇(G.SKILL),,1.2V,19
51,美商海盗船复仇者LPXDDR430008GB,5536581,,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR430008GB,中国大陆/中国台湾,8GB,台式机内存,1条单条,2933/3000MHz,美商海盗船,,1.35V,16
52,美商海盗船（USCORSAIR）复仇者LPX系列,69830180538,华海思达存储专营店,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船（USCORSAIR）,,1.35V,16
53,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
54,,,,,,,,,,,,,,,,,
55,镁光4G8G16G32GDDR4四代笔记本电脑内存条16GDDR42666笔记本内存,68615132707,镁光电脑配件专营店,150.00g,普条,DDR4,260-PinDDR4SDRAM,MT16GD4NB-2666,,16GB,笔记本内存,1条单条,2400/2666MHz,,,1.2V,
56,金士顿HX426C15FB/8,3180109,,50.00g,马甲条,DDR4,288-PinDDR4UDIMM,KF426C16BB/8-SP或HX426C15FB/8或HX426C16FB2/8或HX426C16FB2/8-SP或HX426C16FB/8-SP或HX426C16FB3/8-SP或HX426C16FB3/8-SPBK或KF426C16BB/8-SPBK,中国大陆，中国台湾,8GB,台式机内存,1条单条,2400/2666MHz,金士顿(Kingston),,1.2V,16
57,适用影驰GAMER4G8GDDR421332400频率台式机内存条兼容16G2666褐色2400MHz,10039363093194,沃莱克车品专营店,1.0kg,,,,8g,,,,,,,,,
58,三星（SAMSUNG）DDR4,10033467939670,尚之阳电脑办公专营店,500.00g,普条,DDR4,288-PinDDR4UDIMM,DDR44G2400,,4GB,笔记本内存,1条单条,2400/2666MHz,三星,,1.2V,
59,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
60,美商海盗船（USCORSAIR）DDR4台式机内存条复仇者RGBPRO灯条CM4X320032G(16Gx2)台式机适用,52646247031,美商海盗船存储旗舰店,200.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,CM4X320032G(16GBx2)灯条,,32GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,,
61,美商海盗船复仇者LPXDDR4300016GB,2632409,,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4300016GB,中国大陆/中国台湾,16GB,台式机内存,1条单条,2933/3000MHz,美商海盗船,,1.35V,16
62,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
63,威刚（ADATA）XPG游戏威龙,32583094813,威刚旗舰店,75.00g,马甲条,DDR4,288-PinDIMM,威刚游戏威龙Z1,中国大陆,,台式机内存,,,XPG威刚,,,
64,威刚（ADATA）XPG游戏威龙,32583094813,威刚旗舰店,75.00g,马甲条,DDR4,288-PinDIMM,威刚游戏威龙Z1,中国大陆,,台式机内存,,,XPG威刚,,,
65,威刚龙耀D60DDR4320016G(8Gx2),100005630794,,140.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,龙耀D60GDDR432008GB×2,中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,威刚XPG,16-20-20-38,1.35V,CL16
66,威刚（ADATA）XPG游戏威龙,32583094813,威刚旗舰店,75.00g,马甲条,DDR4,288-PinDIMM,威刚游戏威龙Z1,中国大陆,,台式机内存,,,XPG威刚,,,
67,七彩虹七彩虹(Colorful)DDR4266616GB台式机内存战斧系列,100016531668,,80.00g,马甲条,DDR4,288-PinDIMM,Battle-AX,中国大陆,16GB,,1条单条,2400/2666MHz,七彩虹,,,
68,威刚（ADATA）XPG游戏威龙,32583094813,威刚旗舰店,75.00g,马甲条,DDR4,288-PinDIMM,威刚游戏威龙Z1,中国大陆,,台式机内存,,,XPG威刚,,,
69,科赋（KLEVV）科赋BOLT台式机内存,10022522212196,,110.00g,马甲条,DDR4,288-PinDDR4UDIMM,BOLTX320016GB(8GBx2)内存,,16GB,台式机内存,2条套条,3200/3333MHz,科赋（KLEVV）,,,
70,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
71,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
72,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
73,美商海盗船（USCORSAIR）复仇者LPX系列,69830180538,华海思达存储专营店,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船（USCORSAIR）,,1.35V,16
74,美商海盗船复仇者LPXDDR4300016GB,2632409,,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4300016GB,中国大陆/中国台湾,16GB,台式机内存,1条单条,2933/3000MHz,美商海盗船,,1.35V,16
75,科赋（KLEVV）科赋BOLT台式机内存,10022522212196,,110.00g,马甲条,DDR4,288-PinDDR4UDIMM,BOLTX320016GB(8GBx2)内存,,16GB,台式机内存,2条套条,3200/3333MHz,科赋（KLEVV）,,,
76,阿斯加特洛极T2DDR416GBPC2666灰甲,100004542106,,70.00g,马甲条,DDR4,288-PinDDR4UDIMM,洛极T2DDR416GBPC2666灰甲,中国大陆,16GB,台式机内存,1条单条,2400/2666MHz,阿斯加特,19-19-19-43,1.2V,19
77,金士顿(Kingston)FURY台式机内存条Beast野兽系列骇客神条BEAST野兽FURY-3200-16G黑单条,19085271753,西部数码IT专营店,500.00g,马甲条,DDR4,288-PinDIMM,HX432C18FB/16-SP,,16GB,台式机内存,1条单条,3200/3333MHz,,,,
78,威刚DDR4,100010210775,,180.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,D5041338G*2,中国大陆,16GB,台式机内存,2条套条,4000MHz及以上,,CL19-23-23,1.5V,CL19
79,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
80,G.SKILLF4-3600C18D-16GTRS,100001749045,,240.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3600C18D-16GTRS,中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,芝奇G.SKILL,,1.35V,
81,威刚（ADATA）XPG游戏威龙,32583094813,威刚旗舰店,75.00g,马甲条,DDR4,288-PinDIMM,威刚游戏威龙Z1,中国大陆,,台式机内存,,,XPG威刚,,,
82,美商海盗船（USCORSAIR）DDR4台式机内存条复仇者RGBPRO灯条CM4X320032G(16Gx2)台式机适用,52646247031,美商海盗船存储旗舰店,200.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,CM4X320032G(16GBx2)灯条,,32GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,,
83,美商海盗船（USCORSAIR）复仇者LPX系列,69830180538,华海思达存储专营店,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船（USCORSAIR）,,1.35V,16
84,美商海盗船（USCORSAIR）复仇者LPX系列,69830180538,华海思达存储专营店,60.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB,,16GB,台式机内存,1条单条,3200/3333MHz,美商海盗船（USCORSAIR）,,1.35V,16
85,G.SKILLF4-3200C16D-16GTZR,3828405,,190.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3200C16D-16GTZR,中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,芝奇G.SKILL,,1.35V,
86,G.SKILLF4-3200C16D-16GTZR,3828405,,190.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3200C16D-16GTZR,中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,芝奇G.SKILL,,1.35V,
87,科赋（KLEVV）科赋BOLT台式机内存,10022522212196,,110.00g,马甲条,DDR4,288-PinDDR4UDIMM,BOLTX320016GB(8GBx2)内存,,16GB,台式机内存,2条套条,3200/3333MHz,科赋（KLEVV）,,,
88,,2192119,,,,,,,,,,,,,,,
89,七彩虹七彩虹(Colorful)DDR4266616GB台式机内存战斧系列,100016531668,,80.00g,马甲条,DDR4,288-PinDIMM,Battle-AX,中国大陆,16GB,,1条单条,2400/2666MHz,七彩虹,,,
90,七彩虹七彩虹(Colorful)DDR4266616GB台式机内存战斧系列,100016531668,,80.00g,马甲条,DDR4,288-PinDIMM,Battle-AX,中国大陆,16GB,,1条单条,2400/2666MHz,七彩虹,,,
91,影驰影驰（Galaxy）星曜DDR4-320016GB台式机内存条,100015493298,,160.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,星曜DDR4-320016GB,中国大陆,16GB,台式机内存,1条单条,3200/3333MHz,,,,
92,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
93,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
94,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
95,英睿达（crucial）英睿达铂胜内存,10028315470342,卡姆利旗舰店,50.00g,马甲条,DDR4,288-PinDDR4SDRAM,,马来西亚,16GB,台式机内存,2条套条,3200/3333MHz,美光英睿达内存,,1.2V,795677
96,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
97,七彩虹七彩虹(Colorful)DDR4266616GB台式机内存战斧系列,100016531668,,80.00g,马甲条,DDR4,288-PinDIMM,Battle-AX,中国大陆,16GB,,1条单条,2400/2666MHz,七彩虹,,,
98,影驰影驰（Galaxy）星曜DDR4-320016GB台式机内存条,100015493298,,160.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,星曜DDR4-320016GB,中国大陆,16GB,台式机内存,1条单条,3200/3333MHz,,,,
99,嘉硕通DDR4笔记本内存条,10021467969838,嘉之速电脑办公专营店,100.00g,普条,DDR4,260-PinDDR4SDRAM,4G26662667,,4GB,笔记本内存,1条单条,2400/2666MHz,,,1.2V,
100,影驰HOFEXTREME,10038904935759,胖虫官方旗舰店,190.00g,马甲条,DDR4,288-PinDDR4SDRAM,HOF,,32GB,,4条及以上套条,3600/3733MHz,影驰,,,
101,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
102,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
103,G.SKILLF4-3200C16D-16GTZR,3828405,,190.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3200C16D-16GTZR,中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,芝奇G.SKILL,,1.35V,
104,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
105,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
106,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
107,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
108,美商海盗船（USCORSAIR）海盗船复仇者,10026556577174,蜀刀电脑DIY旗舰店,60.00g,马甲条,DDR4,288-PinDDR4SDRAM,8G,,16GB,,1条单条,2933/3000MHz,,,,
