,商品名称,商品编号,商品毛重,商品产地,搭配主板,板型,处理器,店铺,M.2接口数量,RGB,适用CPU接口,质保期,是否支持PCIE4.0,INTEL芯片,Wi-Fi连接,SSD固态硬盘接口,适用场景,IDE接口,声道,DDR代数,内存插槽,内存标准,最大内存容量,PCI 插槽,PCI Express x16,PCI Express x1,接口,集成显卡,最大网络速度,平台类型,品牌,型号,板型大小,电源接口,适用游戏,AMD芯片,SATA,RAID支持,声卡特色,PCI Express x4,兼容系列,系统风扇插座,USB扩展接口,CPU风扇插座,RJ 45网络接口,USB,音频接口,HDMI接口,PS/2,游戏特色,货号,IEEE 1394扩展接口,LPT扩展接口,光纤接口,S/PDIF 同轴接口,ESATA,声卡类型,产品净重,产品尺寸（mm）,COM扩展接口,网卡类型,质保年限
10,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
11,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
12,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
13,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
14,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
15,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
16,昂达Z490SD4,100019121018,0.69kg,中国大陆,,M-ATX（紧凑型）,,,1个,不是RGB,INTELLGA1200，intel其他,3年质保,不支持PCIE4.0,Z490,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,优选系列,无,5.1声道,DDR4,2xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200,128GB,0个,1个,1个,LGA1200（支持10代处理器),非集成显卡,10M/100M/1000M,Intel平台,昂达ONDA,Z490SD4,225x190(mm),24+8,英雄联盟，坦克世界，使命召唤11，战地5,,4个,RAID0、RAID1、RAID10,,,"支持英特尔LGA1200插槽,可升级第11代英特尔酷睿处理器",1组,3组,,1个,4个,3x3.5mm接口,1个,1xPS/2键盘接口，1xPS/2鼠标接口,其他,,,,,,,RealtekALC892,,,1组,,
17,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
19,华硕（ASUS）PRIMEZ490-P,68968327183,1.16kg,,,ATX（标准型）,,,2个,不是RGB,intel其他,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,1个,其他,DDR4,其他,DDR44000及以上,其他,0个,2个,4个,INTEL其他,非集成显卡,其他,Intel平台,,PRIMEZ490-P,,24+12,梦幻西游2,,,,,0个,,,,,,,,,,,90MB12V0-M0CAY0,0组,,,,0组,,,,,,
20,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,华硕（ASUS）ROGSTRIXZ490-HGAMING,68968398322,1.74kg,,,ATX（标准型）,,,0个,RGB,intel其他,3年质保,不支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR44000及以上,其他,0个,3个,1个,INTEL其他,非集成显卡,其他,Intel平台,,ROGSTRIXZ490-HGAMING,,24+12,看门狗，刺客信条,,,,,0个,,,,,,,其他,,,玩家国度ROG,90MB12S0-M0CAY0,0组,其他,其他,其他,0组,,,,,,
23,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
24,技嘉（GIGABYTE）X570主板AORUS(AMDB450/AM4）ITXATXX570GAMINGX魔鹰,54873381484,1.62kg,,,ATX（标准型）,,技嘉旗舰店,1个,RGB,,3年质保,不支持PCIE4.0,,不支持,M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,,128GB,0个,,,,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,X570系列,,,英雄联盟，吃鸡游戏，GTA5,X570,,,,0个,,,,,,,3x3.5mm接口,,,技嘉AORUS，技嘉GAMING,,0组,1组,1x光纤接口,1个,0组,,,,,,
25,技嘉（GIGABYTE）X570主板AORUS(AMDB450/AM4）ITXATXX570GAMINGX魔鹰,54873381484,1.62kg,,,ATX（标准型）,,技嘉旗舰店,1个,RGB,,3年质保,不支持PCIE4.0,,不支持,M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,,128GB,0个,,,,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,X570系列,,,英雄联盟，吃鸡游戏，GTA5,X570,,,,0个,,,,,,,3x3.5mm接口,,,技嘉AORUS，技嘉GAMING,,0组,1组,1x光纤接口,1个,0组,,,,,,
26,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
28,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
29,技嘉（GIGABYTE）B365/B460主板1151针/1200台式机电脑电竞游戏主板B460MGAMINGHD台式机电脑主板,71811000829,1.2kg,,,M-ATX（紧凑型）,,灵竞DIY旗舰店,1个,RGB,INTELLGA1200,3年以上质保,不支持PCIE4.0,,不支持,SATA接口,优选系列,无,其他,DDR4,其他,DDR42400；DDR42666；DDR42800；DDR43000；DDR43200,64GB,1个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,B365/B460系列,,24+8,最终幻想13，看门狗，吃鸡游戏，极品飞车,,,,,0个,,,,,,,,,,技嘉UD耐久,,0组,,,,0组,,,,,,
30,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,微星（MSI）R33200G,10026621071860,1.5kg,中国大陆,B450,M-ATX（紧凑型）,锐龙5,卡姆利旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5kg,150,,,
32,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
33,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
34,华硕（ASUS）ROGSTRIXZ490-HGAMING,68968398322,1.74kg,,,ATX（标准型）,,,0个,RGB,intel其他,3年质保,不支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR44000及以上,其他,0个,3个,1个,INTEL其他,非集成显卡,其他,Intel平台,,ROGSTRIXZ490-HGAMING,,24+12,看门狗，刺客信条,,,,,0个,,,,,,,其他,,,玩家国度ROG,90MB12S0-M0CAY0,0组,其他,其他,其他,0组,,,,,,
35,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,技嘉B460MDS3H,100013293006,0.815kg,中国,,M-ATX（紧凑型）,,,1个,不是RGB,INTELLGA1200,3年质保,支持PCIE4.0,B460,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,优选系列,无,其他,DDR4,4xddr4内存插槽,DDR42666,128GB,0个,1个,2个,INTELLGA1200,非集成显卡,其他,Intel平台,技嘉GIGABYTE,B460MDS3H,,24+8,英雄联盟,,,,,,,,,,,,,,,技嘉UD耐久,,,,,,,,,,,,
37,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
38,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
39,技嘉（GIGABYTE）X570主板AORUS(AMDB450/AM4）ITXATXX570GAMINGX魔鹰,54873381484,1.62kg,,,ATX（标准型）,,技嘉旗舰店,1个,RGB,,3年质保,不支持PCIE4.0,,不支持,M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,,128GB,0个,,,,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,X570系列,,,英雄联盟，吃鸡游戏，GTA5,X570,,,,0个,,,,,,,3x3.5mm接口,,,技嘉AORUS，技嘉GAMING,,0组,1组,1x光纤接口,1个,0组,,,,,,
40,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
41,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
42,华硕（ASUS）PRIMEZ390-P大师系列主板（IntelZ390/LGA1151）,1747462340,2.0kg,,,ATX（标准型）,,余新电脑配件专营店,1个,不是RGB,INTEL1151（九代），INTEL1151（八代）,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42666,其他,0个,2个,0个,INTEL1151（九代）,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,Z390,,24+8,,,,,,,,,,,,,3x3.5mm接口,,,,,,,,,,,,,,,
43,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
